ReLU,36,256,129,129,0,0,4.2601e+06,0,0,1.70404e+07,4.2601e+06,1.70404e+07,2.85932e-07,186656,0,91.2929,0,
Conv2d,37,256,129,129,589824,9.81526e+09,0,9.81526e+09,0,1.70404e+07,1.13219e+13,1.93997e+07,9.81526e+09,6.4074e+21,3.68214e-16,3.0277e-15,3.83409e+06,
BatchNorm2d,38,256,129,129,0,4.2601e+06,0,1.27803e+07,4.2601e+06,1.70404e+07,2.13005e+07,1.70404e+07,1.42966e-06,933281,0,18.2586,1664.1,
Conv2d,39,256,129,129,589824,9.81526e+09,0,9.81526e+09,0,1.70404e+07,1.13219e+13,1.93997e+07,9.81526e+09,6.4074e+21,3.68214e-16,3.0277e-15,3.83409e+06,
SeparableConv2d,40,256,129,129,655360,1.09058e+10,0,1.09058e+10,0,1.70404e+07,2.18117e+10,1.96618e+07,1.09058e+10,7.11934e+21,3.68214e-16,2.76175e-15,256,
BatchNorm2d,41,256,129,129,0,4.2601e+06,0,1.27803e+07,4.2601e+06,1.70404e+07,2.13005e+07,1.70404e+07,1.42966e-06,933281,0,18.2586,1664.1,
ReLU,42,256,129,129,0,0,4.2601e+06,0,0,1.70404e+07,4.2601e+06,1.70404e+07,2.85932e-07,186656,0,91.2929,0,
ReLU,43,256,129,129,0,0,4.2601e+06,0,0,1.70404e+07,4.2601e+06,1.70404e+07,2.85932e-07,186656,0,91.2929,0,
Conv2d,44,256,65,65,589824,2.49201e+09,0,2.49201e+09,0,4.3264e+06,2.87453e+12,6.6857e+06,2.49201e+09,1.62678e+21,1.45028e-15,4.10977e-15,973440,
BatchNorm2d,45,256,65,65,0,1.0816e+06,0,3.2448e+06,1.0816e+06,4.3264e+06,5.408e+06,4.3264e+06,3.62978e-07,236952,0,18.2586,422.501,
Conv2d,46,256,65,65,589824,2.49201e+09,0,2.49201e+09,0,4.3264e+06,2.87453e+12,6.6857e+06,2.49201e+09,1.62678e+21,1.45028e-15,4.10977e-15,973440,
SeparableConv2d,47,256,65,65,655360,2.7689e+09,0,2.7689e+09,0,4.3264e+06,5.53779e+09,6.94784e+06,2.7689e+09,1.80754e+21,1.45028e-15,3.84382e-15,256,
BatchNorm2d,48,256,65,65,0,1.0816e+06,0,3.2448e+06,1.0816e+06,4.3264e+06,5.408e+06,4.3264e+06,3.62978e-07,236952,0,18.2586,422.501,
Conv2d,49,256,65,65,589824,2.49201e+09,0,2.49201e+09,0,4.3264e+06,2.87453e+12,6.6857e+06,2.49201e+09,1.62678e+21,1.45028e-15,4.10977e-15,973440,
